code,stock,model,final_nav_mean,final_nav_std,final_nav_min,final_nav_max,total_return_mean,total_return_std,total_return_min,total_return_max,sharpe_mean,sharpe_std,sharpe_min,sharpe_max,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,total_turnover_mean,total_turnover_std,total_turnover_min,total_turnover_max,average_turnover_mean,average_turnover_std,average_turnover_min,average_turnover_max,trade_count_mean,trade_count_std,trade_count_min,trade_count_max
sz.000963,Huadong Medicine,Transaction-Cost-Aware R-PPO,0.9597260683333338,0.05185981700007544,0.9048476440000011,1.0079188230000005,-0.04027393166666612,0.051859817000075456,-0.09515235599999894,0.007918823000000463,0.026057484191303205,0.1437698852403903,-0.12095633603312644,0.16634749395679338,-0.26855476954581736,0.04730126027434346,-0.29725093538243985,-0.21395986348270402,8.953682229009537,3.1610756590661016,6.384506528296925,12.483687966194726,0.03715220841912671,0.013116496510647726,0.026491728333182262,0.0517995351294387,43.666666666666664,25.383721817994566,23,72
sz.002415,Hikvision,A2C (Daily),0.964265943,0.009455651072381567,0.954493238,0.9733689310000001,-0.03573405699999991,0.009455651072381553,-0.045506762000000034,-0.026631068999999896,-0.1225266189538163,0.05511930662072059,-0.1742700350557774,-0.06455970674515048,-0.16165753145303288,0.005326921729087237,-0.1676419805742857,-0.15743409949957043,1.6126623146639678,0.7097242023105392,0.9935694414965347,2.3872371956898504,0.006691544874124347,0.0029449137025333583,0.00412269477799392,0.009905548529833405,17.666666666666668,8.621678104251709,10,27
sz.002415,Hikvision,Buy&Hold,0.8928330520000002,,0.8928330520000002,0.8928330520000002,-0.10716694799999982,,-0.10716694799999982,-0.10716694799999982,-0.17292490220639664,,-0.17292490220639664,-0.17292490220639664,-0.29623069041453587,,-0.29623069041453587,-0.29623069041453587,,,,,,,,,0.0,,0,0
sz.002415,Hikvision,GARCH,0.7923630500000018,,0.7923630500000018,0.7923630500000018,-0.20763694999999815,,-0.20763694999999815,-0.20763694999999815,-0.881274843467678,,-0.881274843467678,-0.881274843467678,-0.2340619335449733,,-0.2340619335449733,-0.2340619335449733,,,,,,,,,0.0,,0,0
sz.002415,Hikvision,PPO (Daily),0.9169747070000008,0.048821304838743994,0.8607389110000013,0.9485089250000003,-0.08302529299999917,0.048821304838743994,-0.13926108899999867,-0.05149107499999972,-0.4747307738684167,0.428053363253335,-0.968738431732131,-0.21369101705497368,-0.1773905540813624,0.014956233924678899,-0.18763554477959243,-0.16022774904334813,16.849577508536488,6.3713985297319455,10.176972051022252,22.86952915824691,0.0699152593715207,0.02643733829764293,0.04222809979677283,0.09489431185994568,137.0,25.238858928247925,109,158
sz.002415,Hikvision,Transaction-Cost-Aware R-PPO,1.0626495473333337,0.029418519203127397,1.0447224130000006,1.0966013650000002,0.06264954733333365,0.02941851920312741,0.04472241300000057,0.09660136500000016,0.41194298312966965,0.09888630750633419,0.3019288298373401,0.49342960600997793,-0.19872738808703685,0.10007508617634525,-0.2753497940752482,-0.08550438329484189,4.813984339245486,1.6771387403390778,2.9947286143225638,6.298525942930383,0.01997503875205596,0.006959081910120656,0.012426259810467069,0.02613496241879827,25.0,16.522711641858304,9,42
sz.002594,BYD,A2C (Daily),1.128899146666667,0.10277938451927975,1.010355327,1.1930826750000003,0.12889914666666683,0.10277938451927969,0.01035532700000008,0.19308267500000031,0.7484052071346688,0.5211665344760853,0.14661429746798824,1.0498772378299763,-0.09979334861111659,0.005604226040194162,-0.10391684427750458,-0.09341246462279273,4.558789190362459,3.560354950047662,2.269309809191954,8.660696527991963,0.018916137719346304,0.014773257054139679,0.009416223274655411,0.035936500116149225,52.666666666666664,30.74627348693388,32,88
sz.002594,BYD,Buy&Hold,1.415476733,,1.415476733,1.415476733,0.415476733,,0.415476733,0.415476733,1.1580749486082622,,1.1580749486082622,1.1580749486082622,-0.19022393866308684,,-0.19022393866308684,-0.19022393866308684,,,,,,,,,0.0,,0,0
sz.002594,BYD,GARCH,1.1816609410000012,,1.1816609410000012,1.1816609410000012,0.18166094100000119,,0.18166094100000119,0.18166094100000119,0.6585807139164002,,0.6585807139164002,0.6585807139164002,-0.2059477571175975,,-0.2059477571175975,-0.2059477571175975,,,,,,,,,0.0,,0,0
sz.002594,BYD,PPO (Daily),1.0766250906666692,0.11127388729533165,0.9936376780000034,1.2030699300000014,0.07662509066666923,0.11127388729533169,-0.006362321999996645,0.2030699300000014,0.4737238263847649,0.5145623650045228,0.08656985376849081,1.0576317986453698,-0.11902690032399939,0.02946346583050852,-0.15238632724869583,-0.09656295872062648,48.35594223066372,24.35321420873302,33.71075544634533,76.46838700121799,0.2006470631977748,0.10105068136403744,0.13987865330433746,0.3172962116233112,180.66666666666666,12.701705922171769,166,188
sz.002594,BYD,Transaction-Cost-Aware R-PPO,1.435846922666667,0.16048357221912646,1.285384604,1.6047572950000004,0.435846922666667,0.16048357221912646,0.2853846040000001,0.6047572950000004,1.3966865468044443,0.2763721814173077,1.211032792992112,1.7143046500360692,-0.1462745880596756,0.021964482540660534,-0.1593591919179197,-0.12091651217135646,4.897526206488642,3.502488219708952,0.857378122234021,7.076742707344807,0.020321685504102252,0.014533146139871167,0.003557585569435772,0.029364077623837373,23.666666666666668,18.036999011291577,5,41
